CookerStat, GenerateAssetRegistry=0.018328, Initialize=0.094946, RunGuid=RunIDD7646CB14915D786AE3C16A2038A5E1A
SavePackageTransactionId8770DBD5495C21B65BB97AB60DB2833E_11, Filename=../../../../../../Admin/Documents/GitHub Repositories/Project_PlanetDefence/Project_PlanetDef/Content/Drone.uasset, AutoPackageBackupDelegate=8.568488, FlushAsyncLoading=0.004206, FlushStreamingFunc=0.034254, BlockTillAllRequestsFinished=0.002705, ResetLoadersForSaveUnMarkAllObjects=0.104863, TagPackageExports=4.407585, BeginCacheForCookedPlatformData=0.002105, SerializeImports=4.904862, GatherLocalizableTextData=4.068058, MarkNames=0.034254, SerializeSummary=0.009615, SerializeNames=0.186291, SerializeGatherableTextData=0.037860, BuildExportMap=0.114176, SortExportsNonSeekfree=0.466630, SortExportsSeekfreeConstructor=0.044771, SortExportsSeekfreeInner=6.692957, SortExportsSeekfree=0.004206, BuildDependencyMap=0.054084, SerializeImportMap=0.011720, SerializeExportMap=0.032451, SerializeDependencyMap=0.005409, SerializeStringAssetReferenceMap=0.001200, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.923117, SerializeExports=5.732957, SerializeBulkData=0.004508, MoveFile=3.376674, UnaccountedTime=0.903815, RunGuid=RunIDD7646CB14915D786AE3C16A2038A5E1A
SavePackageTransactionId8770DBD5495C21B65BB97AB60DB2833E_12, Filename=../../../../../../Admin/Documents/GitHub Repositories/Project_PlanetDefence/Project_PlanetDef/Content/Drone.uasset, AutoPackageBackupDelegate=9.907082, FlushAsyncLoading=0.004806, FlushStreamingFunc=0.021636, BlockTillAllRequestsFinished=0.002101, ResetLoadersForSaveUnMarkAllObjects=0.139117, TagPackageExports=6.137993, BeginCacheForCookedPlatformData=0.003003, SerializeImports=6.729316, GatherLocalizableTextData=5.864564, MarkNames=0.074513, SerializeSummary=0.010516, SerializeNames=0.236470, SerializeGatherableTextData=0.067305, BuildExportMap=0.160452, SortExportsNonSeekfree=0.625577, SortExportsSeekfreeConstructor=0.078123, SortExportsSeekfreeInner=9.469296, SortExportsSeekfree=0.005707, BuildDependencyMap=0.050478, SerializeImportMap=0.011116, SerializeExportMap=0.027344, SerializeDependencyMap=0.007812, SerializeStringAssetReferenceMap=0.002101, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.207963, SerializeExports=6.243155, SerializeBulkData=0.006311, MoveFile=3.590610, UnaccountedTime=0.970818, RunGuid=RunIDD7646CB14915D786AE3C16A2038A5E1A
SavePackageTransactionId8770DBD5495C21B65BB97AB60DB2833E_13, Filename=../../../../../../Admin/Documents/GitHub Repositories/Project_PlanetDefence/Project_PlanetDef/Content/Maps/FirstLevel.umap, AutoPackageBackupDelegate=12.976974, FlushAsyncLoading=0.009317, FlushStreamingFunc=0.046872, BlockTillAllRequestsFinished=0.004809, ResetLoadersForSaveUnMarkAllObjects=48.044167, TagPackageExports=2.092469, BeginCacheForCookedPlatformData=0.002407, SerializeImports=2.567511, GatherLocalizableTextData=7.041201, MarkNames=0.056487, SerializeSummary=0.011720, SerializeNames=0.353053, SerializeGatherableTextData=0.024937, BuildExportMap=0.237972, SortExportsNonSeekfree=0.304375, SortExportsSeekfreeConstructor=0.041164, SortExportsSeekfreeInner=10.170892, SortExportsSeekfree=0.003908, BuildDependencyMap=0.071511, SerializeImportMap=0.021636, SerializeExportMap=0.025239, SerializeDependencyMap=0.008713, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.703700, SerializeExports=3.567778, SerializeBulkData=0.743959, MoveFile=2.896223, UnaccountedTime=0.810970, RunGuid=RunIDD7646CB14915D786AE3C16A2038A5E1A
SavePackageTransactionId8770DBD5495C21B65BB97AB60DB2833E_14, Filename=../../../../../../Admin/Documents/GitHub Repositories/Project_PlanetDefence/Project_PlanetDef/Content/Drone.uasset, AutoPackageBackupDelegate=9.218402, FlushAsyncLoading=0.004508, FlushStreamingFunc=0.043567, BlockTillAllRequestsFinished=0.004809, ResetLoadersForSaveUnMarkAllObjects=0.121389, TagPackageExports=4.918084, BeginCacheForCookedPlatformData=0.003006, SerializeImports=5.580619, GatherLocalizableTextData=4.876018, MarkNames=0.042066, SerializeSummary=0.012621, SerializeNames=0.206120, SerializeGatherableTextData=0.046272, BuildExportMap=0.123795, SortExportsNonSeekfree=0.478048, SortExportsSeekfreeConstructor=0.007812, SortExportsSeekfreeInner=7.712450, SortExportsSeekfree=0.004206, BuildDependencyMap=0.063099, SerializeImportMap=0.012018, SerializeExportMap=0.027344, SerializeDependencyMap=0.006609, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.608750, SerializeExports=6.580584, SerializeBulkData=0.007212, MoveFile=4.338778, UnaccountedTime=0.137914, RunGuid=RunIDD7646CB14915D786AE3C16A2038A5E1A
SavePackageTransactionId8770DBD5495C21B65BB97AB60DB2833E_15, Filename=../../../../../../Admin/Documents/GitHub Repositories/Project_PlanetDefence/Project_PlanetDef/Content/GameManager.uasset, AutoPackageBackupDelegate=13.049990, FlushAsyncLoading=0.009317, FlushStreamingFunc=0.052880, BlockTillAllRequestsFinished=0.006612, ResetLoadersForSaveUnMarkAllObjects=0.132505, TagPackageExports=4.751325, BeginCacheForCookedPlatformData=0.003904, SerializeImports=204.430725, GatherLocalizableTextData=3.419641, MarkNames=0.032753, SerializeSummary=0.011116, SerializeNames=0.108771, SerializeGatherableTextData=0.101857, BuildExportMap=0.107568, SortExportsNonSeekfree=0.488263, SortExportsSeekfreeConstructor=0.040866, SortExportsSeekfreeInner=6.768074, SortExportsSeekfree=0.003606, BuildDependencyMap=0.047773, SerializeImportMap=0.014722, SerializeExportMap=0.028547, SerializeDependencyMap=0.030950, SerializeStringAssetReferenceMap=0.002101, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.556771, SerializeExports=5.744073, SerializeBulkData=0.008114, MoveFile=3.214121, UnaccountedTime=0.707004, RunGuid=RunIDD7646CB14915D786AE3C16A2038A5E1A
SavePackageTransactionId8770DBD5495C21B65BB97AB60DB2833E_16, Filename=../../../../../../Admin/Documents/GitHub Repositories/Project_PlanetDefence/Project_PlanetDef/Content/GameManager.uasset, AutoPackageBackupDelegate=8.049279, FlushAsyncLoading=0.004206, FlushStreamingFunc=0.043567, BlockTillAllRequestsFinished=0.003006, ResetLoadersForSaveUnMarkAllObjects=0.109069, TagPackageExports=4.559927, BeginCacheForCookedPlatformData=0.002105, SerializeImports=4.709255, GatherLocalizableTextData=3.423851, MarkNames=0.036359, SerializeSummary=0.009313, SerializeNames=0.172470, SerializeGatherableTextData=0.034254, BuildExportMap=0.115979, SortExportsNonSeekfree=0.474744, SortExportsSeekfreeConstructor=0.043869, SortExportsSeekfreeInner=6.732918, SortExportsSeekfree=0.002705, BuildDependencyMap=0.048675, SerializeImportMap=0.010516, SerializeExportMap=0.027042, SerializeDependencyMap=0.032149, SerializeStringAssetReferenceMap=0.001803, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.557072, SerializeExports=5.781632, SerializeBulkData=0.004508, MoveFile=3.452092, UnaccountedTime=0.748470, RunGuid=RunIDD7646CB14915D786AE3C16A2038A5E1A
SavePackageTransactionId8770DBD5495C21B65BB97AB60DB2833E_17, Filename=../../../../../../Admin/Documents/GitHub Repositories/Project_PlanetDefence/Project_PlanetDef/Content/GameManager.uasset, AutoPackageBackupDelegate=9.441051, FlushAsyncLoading=0.004508, FlushStreamingFunc=0.039961, BlockTillAllRequestsFinished=0.004206, ResetLoadersForSaveUnMarkAllObjects=0.108168, TagPackageExports=5.118798, BeginCacheForCookedPlatformData=0.003006, SerializeImports=5.380504, GatherLocalizableTextData=3.886573, MarkNames=0.043571, SerializeSummary=0.010215, SerializeNames=0.191700, SerializeGatherableTextData=0.036657, BuildExportMap=0.131305, SortExportsNonSeekfree=0.472941, SortExportsSeekfreeConstructor=0.042364, SortExportsSeekfreeInner=7.671889, SortExportsSeekfree=0.004508, BuildDependencyMap=0.055887, SerializeImportMap=0.012320, SerializeExportMap=0.030950, SerializeDependencyMap=0.006612, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.626478, SerializeExports=6.815251, SerializeBulkData=0.006609, MoveFile=3.695473, UnaccountedTime=1.046233, RunGuid=RunIDD7646CB14915D786AE3C16A2038A5E1A
SavePackageTransactionId8770DBD5495C21B65BB97AB60DB2833E_18, Filename=../../../../../../Admin/Documents/GitHub Repositories/Project_PlanetDefence/Project_PlanetDef/Content/GameManager.uasset, AutoPackageBackupDelegate=8.313089, FlushAsyncLoading=0.005107, FlushStreamingFunc=0.039659, BlockTillAllRequestsFinished=0.002705, ResetLoadersForSaveUnMarkAllObjects=0.102762, TagPackageExports=4.755828, BeginCacheForCookedPlatformData=0.001803, SerializeImports=5.226366, GatherLocalizableTextData=3.941860, MarkNames=0.033051, SerializeSummary=0.009917, SerializeNames=0.190496, SerializeGatherableTextData=0.037558, BuildExportMap=0.110272, SortExportsNonSeekfree=0.496075, SortExportsSeekfreeConstructor=0.038460, SortExportsSeekfreeInner=7.165298, SortExportsSeekfree=0.003304, BuildDependencyMap=0.049878, SerializeImportMap=0.010218, SerializeExportMap=0.030346, SerializeDependencyMap=0.006311, SerializeStringAssetReferenceMap=0.001200, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.614461, SerializeExports=6.376866, SerializeBulkData=0.004504, MoveFile=3.662121, UnaccountedTime=0.870761, RunGuid=RunIDD7646CB14915D786AE3C16A2038A5E1A
SavePackageTransactionId8770DBD5495C21B65BB97AB60DB2833E_19, Filename=../../../../../../Admin/Documents/GitHub Repositories/Project_PlanetDefence/Project_PlanetDef/Content/GameManager.uasset, AutoPackageBackupDelegate=7.958233, FlushAsyncLoading=0.004809, FlushStreamingFunc=0.039659, BlockTillAllRequestsFinished=0.003908, ResetLoadersForSaveUnMarkAllObjects=0.104863, TagPackageExports=5.139530, BeginCacheForCookedPlatformData=0.002101, SerializeImports=5.643722, GatherLocalizableTextData=4.327659, MarkNames=0.037562, SerializeSummary=0.009615, SerializeNames=0.177875, SerializeGatherableTextData=0.036959, BuildExportMap=0.116885, SortExportsNonSeekfree=0.515305, SortExportsSeekfreeConstructor=0.038460, SortExportsSeekfreeInner=7.660169, SortExportsSeekfree=0.003606, BuildDependencyMap=0.054084, SerializeImportMap=0.011418, SerializeExportMap=0.030044, SerializeDependencyMap=0.009015, SerializeStringAssetReferenceMap=0.001501, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.629485, SerializeExports=6.769277, SerializeBulkData=0.003908, MoveFile=3.319286, UnaccountedTime=0.774611, RunGuid=RunIDD7646CB14915D786AE3C16A2038A5E1A
SavePackageTransactionId8770DBD5495C21B65BB97AB60DB2833E_20, Filename=../../../../../../Admin/Documents/GitHub Repositories/Project_PlanetDefence/Project_PlanetDef/Content/GameManager.uasset, AutoPackageBackupDelegate=7.904150, FlushAsyncLoading=0.003904, FlushStreamingFunc=0.038162, BlockTillAllRequestsFinished=0.002705, ResetLoadersForSaveUnMarkAllObjects=0.102758, TagPackageExports=5.941782, BeginCacheForCookedPlatformData=0.003006, SerializeImports=6.192975, GatherLocalizableTextData=4.744414, MarkNames=0.039060, SerializeSummary=0.009015, SerializeNames=0.175774, SerializeGatherableTextData=0.039663, BuildExportMap=0.120487, SortExportsNonSeekfree=0.574801, SortExportsSeekfreeConstructor=0.039060, SortExportsSeekfreeInner=8.179080, SortExportsSeekfree=0.003606, BuildDependencyMap=0.055287, SerializeImportMap=0.010215, SerializeExportMap=0.033654, SerializeDependencyMap=0.006311, SerializeStringAssetReferenceMap=0.001203, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.703398, SerializeExports=7.508430, SerializeBulkData=0.003908, MoveFile=3.620356, UnaccountedTime=0.815775, RunGuid=RunIDD7646CB14915D786AE3C16A2038A5E1A
