CookerStat, GenerateAssetRegistry=0.021733, Initialize=0.105046, RunGuid=RunID6483C12342570D2406E0E3BB15CF9306
SavePackageTransactionId519A3CC84F7650FD1389C5AF586EEC1D_10, Filename=../../../../../../Users/vcrittle/Desktop/Project_PlanetDefence/Project_PlanetDef/Content/Materials/Thruster.uasset, AutoPackageBackupDelegate=0.079691, FlushAsyncLoading=0.003319, FlushStreamingFunc=0.019923, BlockTillAllRequestsFinished=0.003319, ResetLoadersForSaveUnMarkAllObjects=0.130102, TagPackageExports=0.024755, BeginCacheForCookedPlatformData=0.001207, SerializeImports=0.554204, GatherLocalizableTextData=0.069726, MarkNames=0.004228, SerializeSummary=0.008449, SerializeNames=0.019018, SerializeGatherableTextData=0.001207, BuildExportMap=0.011470, SortExportsNonSeekfree=0.004832, SortExportsSeekfreeConstructor=0.007246, SortExportsSeekfreeInner=0.119533, SortExportsSeekfree=0.002112, BuildDependencyMap=0.005130, SerializeImportMap=0.006039, SerializeExportMap=0.003923, SerializeDependencyMap=0.001207, SerializeStringAssetReferenceMap=0.001207, SaveThumbNailsAssetRegistryDataWorldLevelInfo=4.088007, SerializeExports=0.108667, SerializeBulkData=3.846828, MoveFile=0.984345, UnaccountedTime=0.938766, RunGuid=RunID6483C12342570D2406E0E3BB15CF9306
SavePackageTransactionId519A3CC84F7650FD1389C5AF586EEC1D_11, Filename=../../../../../../Users/vcrittle/Desktop/Project_PlanetDefence/Project_PlanetDef/Content/Materials/meteor_mat.uasset, AutoPackageBackupDelegate=25.947966, FlushAsyncLoading=0.013582, FlushStreamingFunc=0.060372, BlockTillAllRequestsFinished=0.005431, ResetLoadersForSaveUnMarkAllObjects=0.257786, TagPackageExports=0.092968, BeginCacheForCookedPlatformData=0.001512, SerializeImports=0.761878, GatherLocalizableTextData=0.570200, MarkNames=0.010565, SerializeSummary=0.010263, SerializeNames=0.055544, SerializeGatherableTextData=0.010263, BuildExportMap=0.038031, SortExportsNonSeekfree=0.026263, SortExportsSeekfreeConstructor=0.054635, SortExportsSeekfreeInner=0.574127, SortExportsSeekfree=0.002716, BuildDependencyMap=0.010867, SerializeImportMap=0.006642, SerializeExportMap=0.006337, SerializeDependencyMap=0.001810, SerializeStringAssetReferenceMap=0.002112, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.218846, SerializeExports=0.503492, SerializeBulkData=0.004526, MoveFile=1.139197, UnaccountedTime=0.102330, RunGuid=RunID6483C12342570D2406E0E3BB15CF9306
SavePackageTransactionId519A3CC84F7650FD1389C5AF586EEC1D_12, Filename=../../../../../../Users/vcrittle/Desktop/Project_PlanetDefence/Project_PlanetDef/Content/shiz/FBX_shield.uasset, AutoPackageBackupDelegate=26.273966, FlushAsyncLoading=0.005130, FlushStreamingFunc=0.051919, BlockTillAllRequestsFinished=0.004530, ResetLoadersForSaveUnMarkAllObjects=0.259593, TagPackageExports=0.045884, BeginCacheForCookedPlatformData=0.001509, SerializeImports=0.670116, GatherLocalizableTextData=0.207674, MarkNames=0.006642, SerializeSummary=0.009056, SerializeNames=0.057954, SerializeGatherableTextData=0.001207, BuildExportMap=0.019621, SortExportsNonSeekfree=0.008754, SortExportsSeekfreeConstructor=0.007242, SortExportsSeekfreeInner=0.621218, SortExportsSeekfree=0.003017, BuildDependencyMap=0.007547, SerializeImportMap=0.006944, SerializeExportMap=0.004526, SerializeDependencyMap=0.001207, SerializeStringAssetReferenceMap=0.001211, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.967693, SerializeExports=0.251442, SerializeBulkData=0.116516, MoveFile=1.031134, UnaccountedTime=0.093877, RunGuid=RunID6483C12342570D2406E0E3BB15CF9306
SavePackageTransactionId519A3CC84F7650FD1389C5AF586EEC1D_13, Filename=../../../../../../Users/vcrittle/Desktop/Project_PlanetDefence/Project_PlanetDef/Content/Meteorites/meteor1_final.uasset, AutoPackageBackupDelegate=0.082709, FlushAsyncLoading=0.003319, FlushStreamingFunc=0.041354, BlockTillAllRequestsFinished=0.013582, ResetLoadersForSaveUnMarkAllObjects=0.146400, TagPackageExports=0.039242, BeginCacheForCookedPlatformData=0.001207, SerializeImports=0.661664, GatherLocalizableTextData=0.224881, MarkNames=0.005435, SerializeSummary=0.008754, SerializeNames=0.052519, SerializeGatherableTextData=0.001211, BuildExportMap=0.016902, SortExportsNonSeekfree=0.008453, SortExportsSeekfreeConstructor=0.007547, SortExportsSeekfreeInner=0.392407, SortExportsSeekfree=0.002719, BuildDependencyMap=0.006940, SerializeImportMap=0.007246, SerializeExportMap=0.004828, SerializeDependencyMap=0.001207, SerializeStringAssetReferenceMap=0.000905, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.577395, SerializeExports=0.239071, SerializeBulkData=0.015393, MoveFile=0.842173, UnaccountedTime=0.926994, RunGuid=RunID6483C12342570D2406E0E3BB15CF9306
SavePackageTransactionId519A3CC84F7650FD1389C5AF586EEC1D_14, Filename=../../../../../../Users/vcrittle/Desktop/Project_PlanetDefence/Project_PlanetDef/Content/Materials/meteor_mat.uasset, AutoPackageBackupDelegate=24.660557, FlushAsyncLoading=0.003621, FlushStreamingFunc=0.118632, BlockTillAllRequestsFinished=0.004828, ResetLoadersForSaveUnMarkAllObjects=0.270158, TagPackageExports=0.070333, BeginCacheForCookedPlatformData=0.001207, SerializeImports=0.855755, GatherLocalizableTextData=0.540018, MarkNames=0.009052, SerializeSummary=0.008151, SerializeNames=0.052523, SerializeGatherableTextData=0.008754, BuildExportMap=0.036523, SortExportsNonSeekfree=0.025358, SortExportsSeekfreeConstructor=0.051618, SortExportsSeekfreeInner=0.658039, SortExportsSeekfree=0.003021, BuildDependencyMap=0.010259, SerializeImportMap=0.006337, SerializeExportMap=0.006642, SerializeDependencyMap=0.001512, SerializeStringAssetReferenceMap=0.010565, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.276193, SerializeExports=0.576541, SerializeBulkData=0.004228, MoveFile=1.036867, UnaccountedTime=0.101425, RunGuid=RunID6483C12342570D2406E0E3BB15CF9306
SavePackageTransactionId519A3CC84F7650FD1389C5AF586EEC1D_15, Filename=../../../../../../Users/vcrittle/Desktop/Project_PlanetDefence/Project_PlanetDef/Content/cannons_base_.uasset, AutoPackageBackupDelegate=0.122856, FlushAsyncLoading=0.004526, FlushStreamingFunc=0.097800, BlockTillAllRequestsFinished=0.007849, ResetLoadersForSaveUnMarkAllObjects=0.253860, TagPackageExports=0.058562, BeginCacheForCookedPlatformData=0.001810, SerializeImports=0.963818, GatherLocalizableTextData=0.325400, MarkNames=0.009358, SerializeSummary=0.013281, SerializeNames=0.079688, SerializeGatherableTextData=0.001512, BuildExportMap=0.029277, SortExportsNonSeekfree=0.012677, SortExportsSeekfreeConstructor=0.010263, SortExportsSeekfreeInner=0.901036, SortExportsSeekfree=0.003923, BuildDependencyMap=0.011168, SerializeImportMap=0.009052, SerializeExportMap=0.006642, SerializeDependencyMap=0.001509, SerializeStringAssetReferenceMap=0.001810, SaveThumbNailsAssetRegistryDataWorldLevelInfo=8.383692, SerializeExports=0.316042, SerializeBulkData=0.029884, MoveFile=1.142215, UnaccountedTime=1.372229, RunGuid=RunID6483C12342570D2406E0E3BB15CF9306
SavePackageTransactionId519A3CC84F7650FD1389C5AF586EEC1D_16, Filename=../../../../../../Users/vcrittle/Desktop/Project_PlanetDefence/Project_PlanetDef/Content/FBX_shield.uasset, AutoPackageBackupDelegate=0.087839, FlushAsyncLoading=0.003319, FlushStreamingFunc=0.106554, BlockTillAllRequestsFinished=0.004832, ResetLoadersForSaveUnMarkAllObjects=0.174772, TagPackageExports=0.058860, BeginCacheForCookedPlatformData=0.001207, SerializeImports=0.645064, GatherLocalizableTextData=0.199523, MarkNames=0.006340, SerializeSummary=0.009056, SerializeNames=0.058256, SerializeGatherableTextData=0.001207, BuildExportMap=0.020526, SortExportsNonSeekfree=0.008453, SortExportsSeekfreeConstructor=0.052523, SortExportsSeekfreeInner=0.593144, SortExportsSeekfree=0.003017, BuildDependencyMap=0.007547, SerializeImportMap=0.006340, SerializeExportMap=0.004224, SerializeDependencyMap=0.001207, SerializeStringAssetReferenceMap=0.001207, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.978259, SerializeExports=0.245105, SerializeBulkData=0.019923, MoveFile=0.869341, UnaccountedTime=0.984948, RunGuid=RunID6483C12342570D2406E0E3BB15CF9306
SavePackageTransactionId519A3CC84F7650FD1389C5AF586EEC1D_17, Filename=../../../../../../Users/vcrittle/Desktop/Project_PlanetDefence/Project_PlanetDef/Content/Materials/shield_mat.uasset, AutoPackageBackupDelegate=25.491863, FlushAsyncLoading=0.004224, FlushStreamingFunc=0.108968, BlockTillAllRequestsFinished=0.014190, ResetLoadersForSaveUnMarkAllObjects=0.272874, TagPackageExports=0.179604, BeginCacheForCookedPlatformData=0.001810, SerializeImports=0.945710, GatherLocalizableTextData=1.096334, MarkNames=0.012074, SerializeSummary=0.008453, SerializeNames=0.052825, SerializeGatherableTextData=0.073653, BuildExportMap=0.066709, SortExportsNonSeekfree=0.077877, SortExportsSeekfreeConstructor=0.052221, SortExportsSeekfreeInner=0.697583, SortExportsSeekfree=0.002418, BuildDependencyMap=0.016600, SerializeImportMap=0.006337, SerializeExportMap=0.009056, SerializeDependencyMap=0.003621, SerializeStringAssetReferenceMap=0.001810, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.186849, SerializeExports=1.097538, SerializeBulkData=0.004228, MoveFile=1.200173, UnaccountedTime=0.111081, RunGuid=RunID6483C12342570D2406E0E3BB15CF9306
SavePackageTransactionId519A3CC84F7650FD1389C5AF586EEC1D_18, Filename=../../../../../../Users/vcrittle/Desktop/Project_PlanetDefence/Project_PlanetDef/Content/Shield.uasset, AutoPackageBackupDelegate=25.587551, FlushAsyncLoading=0.006039, FlushStreamingFunc=0.058256, BlockTillAllRequestsFinished=0.014793, ResetLoadersForSaveUnMarkAllObjects=0.474814, TagPackageExports=10.604128, BeginCacheForCookedPlatformData=0.002414, SerializeImports=13.760313, GatherLocalizableTextData=14.290366, MarkNames=0.098705, SerializeSummary=0.012677, SerializeNames=0.265028, SerializeGatherableTextData=0.086330, BuildExportMap=0.199828, SortExportsNonSeekfree=1.851872, SortExportsSeekfreeConstructor=0.009961, SortExportsSeekfreeInner=15.370705, SortExportsSeekfree=0.004526, BuildDependencyMap=0.125270, SerializeImportMap=0.013884, SerializeExportMap=0.087537, SerializeDependencyMap=0.017811, SerializeStringAssetReferenceMap=0.001810, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.888700, SerializeExports=17.729084, SerializeBulkData=0.006642, MoveFile=1.174513, UnaccountedTime=0.190772, RunGuid=RunID6483C12342570D2406E0E3BB15CF9306
SavePackageTransactionId519A3CC84F7650FD1389C5AF586EEC1D_19, Filename=../../../../../../Users/vcrittle/Desktop/Project_PlanetDefence/Project_PlanetDef/Content/meteor1_final.uasset, AutoPackageBackupDelegate=0.103235, FlushAsyncLoading=0.003621, FlushStreamingFunc=0.022035, BlockTillAllRequestsFinished=0.003021, ResetLoadersForSaveUnMarkAllObjects=0.156358, TagPackageExports=0.040751, BeginCacheForCookedPlatformData=0.001207, SerializeImports=0.649892, GatherLocalizableTextData=0.227299, MarkNames=0.005733, SerializeSummary=0.009358, SerializeNames=0.053730, SerializeGatherableTextData=0.001207, BuildExportMap=0.017207, SortExportsNonSeekfree=0.008453, SortExportsSeekfreeConstructor=0.007242, SortExportsSeekfreeInner=0.361320, SortExportsSeekfree=0.002716, BuildDependencyMap=0.007246, SerializeImportMap=0.005435, SerializeExportMap=0.004224, SerializeDependencyMap=0.001207, SerializeStringAssetReferenceMap=0.001207, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.616637, SerializeExports=0.242088, SerializeBulkData=0.016600, MoveFile=0.847001, UnaccountedTime=1.046225, RunGuid=RunID6483C12342570D2406E0E3BB15CF9306
SavePackageTransactionId519A3CC84F7650FD1389C5AF586EEC1D_20, Filename=../../../../../../Users/vcrittle/Desktop/Project_PlanetDefence/Project_PlanetDef/Content/Materials/meteor_mat.uasset, AutoPackageBackupDelegate=24.838652, FlushAsyncLoading=0.003923, FlushStreamingFunc=0.121046, BlockTillAllRequestsFinished=0.005431, ResetLoadersForSaveUnMarkAllObjects=0.265632, TagPackageExports=0.069425, BeginCacheForCookedPlatformData=0.001211, SerializeImports=0.815306, GatherLocalizableTextData=0.555411, MarkNames=0.009358, SerializeSummary=0.008453, SerializeNames=0.053126, SerializeGatherableTextData=0.008754, BuildExportMap=0.036221, SortExportsNonSeekfree=0.025053, SortExportsSeekfreeConstructor=0.051014, SortExportsSeekfreeInner=0.540320, SortExportsSeekfree=0.002414, BuildDependencyMap=0.009961, SerializeImportMap=0.006340, SerializeExportMap=0.006039, SerializeDependencyMap=0.001509, SerializeStringAssetReferenceMap=0.001814, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.162397, SerializeExports=0.504699, SerializeBulkData=0.004224, MoveFile=1.168475, UnaccountedTime=0.102330, RunGuid=RunID6483C12342570D2406E0E3BB15CF9306
SavePackageTransactionId519A3CC84F7650FD1389C5AF586EEC1D_21, Filename=../../../../../../Users/vcrittle/Desktop/Project_PlanetDefence/Project_PlanetDef/Content/Maps/FirstLevel.umap, AutoPackageBackupDelegate=26.284229, FlushAsyncLoading=0.006944, FlushStreamingFunc=0.102330, BlockTillAllRequestsFinished=0.005733, ResetLoadersForSaveUnMarkAllObjects=49.903694, TagPackageExports=1.600429, BeginCacheForCookedPlatformData=0.002418, SerializeImports=2.746567, GatherLocalizableTextData=8.633926, MarkNames=0.051014, SerializeSummary=0.012677, SerializeNames=0.402674, SerializeGatherableTextData=0.027165, BuildExportMap=0.295214, SortExportsNonSeekfree=0.278007, SortExportsSeekfreeConstructor=0.046484, SortExportsSeekfreeInner=15.231550, SortExportsSeekfree=0.003621, BuildDependencyMap=0.067316, SerializeImportMap=0.031695, SerializeExportMap=0.024449, SerializeDependencyMap=0.006337, SerializeStringAssetReferenceMap=0.001509, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.781201, SerializeExports=4.037294, SerializeBulkData=1.004871, MoveFile=1.320612, UnaccountedTime=1.134973, RunGuid=RunID6483C12342570D2406E0E3BB15CF9306
