CookerStat, GenerateAssetRegistry=0.018880, Initialize=0.098240, RunGuid=RunIDC32BF8D04454A0F04BAC88BC4AD06CF0
SavePackageTransactionId66562C8B4B109C9485629C8F32DBF330_0, Filename=../../../../../../../INBOUND/build/yo/Project_PlanetDef/Content/Projectile.uasset, AutoPackageBackupDelegate=6.618522, FlushAsyncLoading=0.006720, FlushStreamingFunc=0.031039, BlockTillAllRequestsFinished=0.003841, ResetLoadersForSaveUnMarkAllObjects=0.167679, TagPackageExports=7.288914, BeginCacheForCookedPlatformData=0.003841, SerializeImports=8.041550, GatherLocalizableTextData=7.006358, MarkNames=0.079360, SerializeSummary=0.015359, SerializeNames=0.247359, SerializeGatherableTextData=0.027519, BuildExportMap=0.199039, SortExportsNonSeekfree=1.130555, SortExportsSeekfreeConstructor=0.057280, SortExportsSeekfreeInner=9.126984, SortExportsSeekfree=0.006080, BuildDependencyMap=0.099842, SerializeImportMap=0.018880, SerializeExportMap=0.048641, SerializeDependencyMap=0.011202, SerializeStringAssetReferenceMap=0.001598, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.705234, SerializeExports=9.197063, SerializeBulkData=0.019200, MoveFile=3.731176, UnaccountedTime=0.655677, RunGuid=RunIDC32BF8D04454A0F04BAC88BC4AD06CF0
SavePackageTransactionId66562C8B4B109C9485629C8F32DBF330_1, Filename=../../../../../../../INBOUND/build/yo/Project_PlanetDef/Content/Maps/FirstLevel.umap, AutoPackageBackupDelegate=5.978525, FlushAsyncLoading=0.007678, FlushStreamingFunc=0.040639, BlockTillAllRequestsFinished=0.005122, ResetLoadersForSaveUnMarkAllObjects=51.456646, TagPackageExports=2.664626, BeginCacheForCookedPlatformData=0.002239, SerializeImports=3.471337, GatherLocalizableTextData=12.638323, MarkNames=0.096001, SerializeSummary=0.013761, SerializeNames=0.402875, SerializeGatherableTextData=0.048321, BuildExportMap=0.354879, SortExportsNonSeekfree=0.599355, SortExportsSeekfreeConstructor=0.052482, SortExportsSeekfreeInner=15.894301, SortExportsSeekfree=0.004482, BuildDependencyMap=0.100799, SerializeImportMap=0.029761, SerializeExportMap=0.033598, SerializeDependencyMap=0.007361, SerializeStringAssetReferenceMap=0.001278, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.032315, SerializeExports=5.182046, SerializeBulkData=0.004482, MoveFile=3.067501, UnaccountedTime=0.800315, RunGuid=RunIDC32BF8D04454A0F04BAC88BC4AD06CF0
SavePackageTransactionId66562C8B4B109C9485629C8F32DBF330_2, Filename=../../../../../../../INBOUND/build/yo/Project_PlanetDef/Content/Maps/FirstLevel.umap, AutoPackageBackupDelegate=2.841584, FlushAsyncLoading=0.002880, FlushStreamingFunc=0.032317, BlockTillAllRequestsFinished=0.003841, ResetLoadersForSaveUnMarkAllObjects=52.210884, TagPackageExports=2.621423, BeginCacheForCookedPlatformData=0.001919, SerializeImports=3.221743, GatherLocalizableTextData=12.108725, MarkNames=0.076160, SerializeSummary=0.012480, SerializeNames=0.400640, SerializeGatherableTextData=0.043839, BuildExportMap=0.318397, SortExportsNonSeekfree=0.571195, SortExportsSeekfreeConstructor=0.068162, SortExportsSeekfreeInner=15.711263, SortExportsSeekfree=0.005122, BuildDependencyMap=0.102717, SerializeImportMap=0.030082, SerializeExportMap=0.033278, SerializeDependencyMap=0.008002, SerializeStringAssetReferenceMap=0.001278, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.974715, SerializeExports=5.197089, SerializeBulkData=0.006080, MoveFile=2.953261, UnaccountedTime=0.161279, RunGuid=RunIDC32BF8D04454A0F04BAC88BC4AD06CF0
